datetime,city,area_name,location,hour,day_of_week,month,base_fare,ride_demand
2023-01-01 00:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,0,6,1,101,71
2023-01-01 01:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,1,6,1,121,63
2023-01-01 02:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,2,6,1,132,67
2023-01-01 03:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,3,6,1,124,60
2023-01-01 04:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,4,6,1,73,59
2023-01-01 05:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,5,6,1,71,58
2023-01-01 06:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,6,6,1,137,68
2023-01-01 07:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,7,6,1,79,62
2023-01-01 08:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,8,6,1,51,102
2023-01-01 09:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,9,6,1,125,113
2023-01-01 10:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,10,6,1,138,118
2023-01-01 11:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,11,6,1,140,81
2023-01-01 12:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,12,6,1,141,72
2023-01-01 13:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,13,6,1,64,71
2023-01-01 14:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,14,6,1,111,68
2023-01-01 15:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,15,6,1,104,59
2023-01-01 16:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,16,6,1,150,63
2023-01-01 17:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,17,6,1,70,105
2023-01-01 18:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,18,6,1,88,100
2023-01-01 19:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,19,6,1,138,110
2023-01-01 20:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,20,6,1,58,98
2023-01-01 21:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,21,6,1,133,71
2023-01-01 22:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,22,6,1,109,63
2023-01-01 23:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,23,6,1,93,64
2023-01-02 00:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,0,0,1,96,44
2023-01-02 01:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,1,0,1,127,58
2023-01-02 02:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,2,0,1,85,49
2023-01-02 03:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,3,0,1,53,43
2023-01-02 04:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,4,0,1,55,51
2023-01-02 05:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,5,0,1,53,53
2023-01-02 06:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,6,0,1,83,51
2023-01-02 07:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,7,0,1,111,45
2023-01-02 08:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,8,0,1,63,102
2023-01-02 09:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,9,0,1,64,94
2023-01-02 10:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,10,0,1,127,94
2023-01-02 11:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,11,0,1,134,72
2023-01-02 12:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,12,0,1,131,56
2023-01-02 13:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,13,0,1,102,54
2023-01-02 14:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,14,0,1,90,56
2023-01-02 15:00:00,Nagpur,Sitabuldi,Nagpur_Sitabuldi,15,0,1,94,42
